Unique_ID,State,District,Disease,Cases,Deaths,Year_Week,Month_Approx,disease_clean,Year
BH/JAH/2020/02/0020,Bihar,Jehanabad,Visceral Leishmaniasis,2,0,2020-W02,1,Visceral Leishmaniasis,2020
JH/DHN/2020/02/0021,Jharkhand,Dhanbad,Chickenpox,10,0,2020-W02,1,Chickenpox,2020
JH/ESI/2020/02/0022,Jharkhand,East Singhbum,Chickenpox,32,0,2020-W02,1,Chickenpox,2020
KN/BGK/2020/02/0023,Karnataka,Bagalkot,Chikungunya,33,0,2020-W02,1,Chikungunya,2020
KL/PTH/2020/02/0033,Kerala,Pathanamthitta,"Hepatitis (A, B, E)",54,0,2020-W02,1,"Hepatitis (A, B, E)",2020
KL/PTH/2020/02/0034,Kerala,Pathanamthitta,Chickenpox,8,0,2020-W02,1,Chickenpox,2020
HR/JJH/2020/03/0035,Haryana,Jhajjar,"Hepatitis (A, B, E)",11,0,2020-W03,1,"Hepatitis (A, B, E)",2020
HR/KUK/2020/03/0036,Haryana,Kurukshetra,Acute Gastroenteritis,99,0,2020-W03,1,Acute Gastroenteritis,2020
MH/KOP/2020/03/0037,Maharashtra,Kolhapur,Chikungunya,11,0,2020-W03,1,Chikungunya,2020
AS/SNT/2020/03/0041,Assam,Biswanath,Food Poisoning,11,0,2020-W03,1,Food Poisoning,2020
BH/PAC/2020/03/0042,Bihar,Champaran,Measles & Rubella,9,0,2020-W03,1,Measles & Rubella,2020
JH/WSI/2020/03/0043,Jharkhand,Singhbhum,Chickenpox,24,0,2020-W03,1,Chickenpox,2020
CT/DHM/2020/04/0049,Chhattisgarh,Dhamtari,Acute Diarrheal Disease,169,0,2020-W04,1,Acute Diarrheal Disease,2020
GJ/MHS/2020/04/0050,Gujarat,Mahesana,Acute Diarrheal Disease,45,0,2020-W04,1,Acute Diarrheal Disease,2020
JH/CHA/2020/04/0051,Jharkhand,Chatra,Chickenpox,42,0,2020-W04,1,Chickenpox,2020
KL/CNR/2020/04/0052,Kerala,Kannur,Food Poisoning,95,0,2020-W04,1,Food Poisoning,2020
KL/CNR/2020/04/0053,Kerala,Kannur,Food Poisoning,55,0,2020-W04,1,Food Poisoning,2020
CT/BBR/2020/04/0060,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,6,0,2020-W04,1,Acute Diarrheal Disease,2020
HR/JJH/2020/04/0061,Haryana,Jhajjar,Chickenpox,11,0,2020-W04,1,Chickenpox,2020
JH/HAZ/2020/04/0062,Jharkhand,Hazaribagh,Food Poisoning,45,0,2020-W04,1,Food Poisoning,2020
JH/SAK/2020/04/0063,Jharkhand,Kharsawan,Chickenpox,31,2,2020-W04,1,Chickenpox,2020
JH/WSI/2020/04/0064,Jharkhand,Singhbhum,Chickenpox,10,0,2020-W04,1,Chickenpox,2020
KN/KOL/2020/04/0065,Karnataka,Kollam,Diphtheria,5,1,2020-W04,1,Diphtheria,2020
KN/MYS/2020/04/0066,Karnataka,Mysuru,Acute Diarrheal Disease,37,0,2020-W04,1,Acute Diarrheal Disease,2020
AP/VKP/2020/05/0072,Andhra Pradesh,Visakhapatnam,Acute Diarrheal Disease,13,0,2020-W05,2,Acute Diarrheal Disease,2020
AS/UAL/2020/05/0073,Assam,Udalguri,Fever (Unspecified),8,0,2020-W05,2,Fever (Unspecified),2020
CT/BAS/2020/05/0074,Chhattisgarh,Bastar,Acute Encephalitic Syndrome,6,1,2020-W05,2,Acute Encephalitic Syndrome,2020
DN/DNH/2020/05/0075,Dadra and Nagar Haveli,Nagar Haveli,Acute Diarrheal Disease,9,3,2020-W05,2,Acute Diarrheal Disease,2020
GJ/BNS/2020/05/0077,Gujarat,Banaskantha,Measles & Rubella,3,9,2020-W05,2,Measles & Rubella,2020
